tasknumber,jpname,cnname,shortname,,,,
B31,「第二戦隊」抜錨！,“第二战队”起锚！,第二战队起锚,,,,
B48,鎮守府正面の対潜哨戒を強化せよ！,强化镇守府正面的对潜！,强化镇守府正面的对潜,,,,
B63,製油所地帯を防衛せよ！,制油所地带防卫作战！,制油所地带防卫作战,,,,
B64,南西諸島防衛線を強化せよ！,南西诸岛防线强化！,南西诸岛防线强化,,,,
B65,オリョール海の制海権を確保せよ！,东部奥廖尔海制海权确保！,东部奥廖尔海制海权确保,,,,
B67,艦隊、三周年！,舰队、三周年！,舰队三周年,,,,
B72,「第三十一戦隊」敵潜を制圧せよ！,“第三十一战队”对敌潜艇压制！,第三十一战队对敌潜艇压制,,,,
B74,精鋭「八駆第一小隊」対潜哨戒！,精锐“八驱第一小队”対潜哨戒！,精锐八驱第一小队対潜哨戒,,,,
B75,水雷戦隊、南西諸島防衛線に反復出撃せよ！,水雷战队、南西诸岛防卫线反复出击！,水雷战队南西诸岛防卫线反复出击,,,,
B77,水雷戦隊、南西諸島海域を哨戒せよ！,水雷战队、南西诸岛海域的警戒！,水雷战队南西诸岛海域的警戒,,,,
B90,精鋭「第八駆逐隊」突入せよ！,精锐“第八驱逐队”突入！,精锐第八驱逐队突入,,,,
B93,南西諸島方面の敵艦隊を撃破せよ！,击破南西群岛方面的敌舰队！,击破南西群岛方面的敌舰队,,,,
B94,洋上航空戦力を拡充せよ！,扩充洋上航空战力！,扩充洋上航空战力,,,,
B95,改装航空巡洋艦、出撃！,改装航空巡洋舰，出击！,改装航空巡洋舰出击,,,,
B96,改装攻撃型軽空母、前線展開せよ！,改装攻击型轻空母，前线展开！,改装攻击型轻空母前线展开,,,,
B97,鎮守府海域警戒を厳とせよ！,强化镇守府海域警戒,,,,,
B98,海上護衛体制の強化に努めよ！,努力进行海上护卫体制的强化！,努力进行海上护卫体制的强化,,,,
B99,新編「第一戦隊」、抜錨せよ！,新编“第一战队”，拔锚出击！,新编第一战队拔锚出击,,,,
B100,増強海上護衛総隊、抜錨せよ！,加强的海上护卫总队，出发！,加强的海上护卫总队出发,,,,
B101,新編「第七戦隊」、出撃せよ！,新编“第七战队”，出击！,新编第七战队出击,,,,
B102,精鋭「第四航空戦隊」、抜錨せよ！,精锐“第四航空战队”，拔锚！,精锐第四航空战队拔锚,,,,
B103,旗艦「由良」、抜錨！,旗舰“由良”，拔锚！,旗舰由良拔锚,,,,
B105,精強大型航空母艦、抜錨！,精强大型航空母舰，拔锚！,精强大型航空母舰拔锚,,,,
B107,補給線の安全を確保せよ！,确保输送线路的安全,,,,,
B108,「第八駆逐隊」、南西へ！,“第八驱逐队”，前往南西！,第八驱逐队前往南西,,,,
B109,最精鋭「第八駆逐隊」、全力出撃！,最精锐“第八驱逐队”全力出击！,最精锐第八驱逐队全力出击,,,,
B110,北方海域戦闘哨戒を実施せよ！,实施北方海域战斗哨戒吧！,实施北方海域战斗哨戒吧,,,,
B111,松輸送作戦、開始せよ！,松运输作战，开始吧！,松运输作战开始吧,,,,
B112,精鋭「四水戦」、南方海域に展開せよ！,精锐“四水战”，在南方海域展开吧！,精锐四水战在南方海域展开吧,,,,
B113,松輸送作戦、継続実施せよ！,继续实施松输送作战！,继续实施松输送作战,,,,
B114,新編「四航戦」、全力出撃！,新编“四航战”，全力出击！,新编四航战全力出击,,,,
B115,精鋭駆逐隊、獅子奮迅！,精锐驱逐队勇往直前！,精锐驱逐队、狮子奋迅！,精锐驱逐队勇往直前,精锐驱逐队狮子奋迅,,
B116,「十八駆」、北方海域キス島へ！,“十八驱”，前往北方海域基斯岛！,十八驱前往北方海域基斯岛,,,,
B117,最精鋭甲型駆逐艦、突入！敵中突破！,最精锐甲级驱逐舰，突入敌阵中心！,最精锐甲级驱逐舰突入敌阵中心,,,,
B118,戦闘航空母艦、 出撃せょ!,战斗航空母舰，出击！,战斗航空母舰出击,,,,
B119,「伊勢改二」 、 敵機動部隊を迎撃せょ!,伊势改二，迎战敌机动部队！,伊势改二迎战敌机动部队,,,,
B120,精鋭「第十八戦隊」、展開せよ！,精锐“第十八战队”、展开！,精锐第十八战队展开,,,,
B121,精鋭「二七駆」第一小隊、出撃せよ！,精锐“二七驱”第一小队、出击！,精锐二七驱第一小队出击,,,,
B122,精鋭「四戦隊」第二小隊、抜錨せよ！,第四战队第二小队新锐，拔锚起航！,第四战队第二小队新锐拔锚起航,,,,
B123,精強「十七駆」、北へ、南へ！,精强“十七驱”，向北，向南！,精强十七驱向北向南,,,,
B124,「第七駆逐隊」、南西諸島を駆ける！,“第七驱逐队”，驰骋南西群岛！,第七驱逐队驰骋南西群岛,,,,
B125,近海の警戒監視と哨戒活動を強化せよ！,强化近海的警戒监视和哨戒活动！,强化近海的警戒监视和哨戒活动,,,,
B126,主力オブ主力、抜錨開始！,主力of主力，开始起锚！,主力of主力开始起锚,,,,
B127,冬季北方海域作戦,冬季北方海域作战,冬季北方海域作战,,,,
B128,「比叡」の出撃,“比睿”的出击,比睿的出击,,,,
B129,精鋭無比「第一戦隊」まかり通る！,精锐无比“第一舰队”勇往直前！,精锐无比第一舰队勇往直前,,,,
B130,精鋭無比「第一戦隊」まかり通る！【拡張作戦】,精锐无比“第一战队”勇往直前！【扩张作战】,精锐无比第一战队勇往直前扩张作战,,,,
B131,航空戦艦戦隊、戦闘哨戒！,航空战舰战队，战斗哨戒！,航空战舰战队战斗哨戒,,,,
B132,最精鋭「第四航空戦隊」、出撃せよ！,最精锐“第四航空战队”，出击！,最精锐第四航空战队出击,,,,
B133,重改装高速戦艦「金剛改二丙」、南方突入！,重改装高速战舰“金刚改二丙”，突入南方！,重改装高速战舰金刚改二丙突入南方,,,,
B134,艦隊司令部の強化 【実施段階】,舰队司令部强化【实施阶段】,舰队司令部强化实施阶段,,,,
B135,近海哨戒を実施せよ！,进行近海警戒！,进行近海警戒！,,,,
B136,精鋭'二四駆逐隊'出撃せよ！,精锐“第二十四驱逐队”出击！,精锐第二十四驱逐队出击,,,,
B137,精強！'第一航空戦隊'出撃せよ！,精强！“第一航空战队”出击！,精强第一航空战队出击,,,,
B138,「羽黒」「神風」、出撃せよ！,“羽黒”“神风”，出击！,羽黒神风出击,,,,
B139,陸戦用装備の艦載運用実戦研究,陆战用装备的舰载运用实战研究,,,,,
B140,「夕張改二」試してみてもいいかしら？,要试试“夕张改二”吗？,要试试夕张改二吗,,,,
B141,新編「六水戦」出撃！後で感想、聞かせてね！,新编“六水战”出击！之后的感想，要讲给我听哦！,新编六水战出击之后的感想要讲给我听哦,,,,
B142,再編「第三一駆逐隊」、抜錨せよ！,再编“第三一驱逐队”，拔锚！,再编第三一驱逐队拔锚,,,,
B143,「第五航空戦隊」、縦横無尽,“第五航空战队”、纵横无尽,第五航空战队纵横无尽,,,,
B144,「比叡改二丙」見参！第三戦隊、南方突入！,“比睿改二丙”参战！第三战队，突入南方！,比睿改二丙参战第三战队突入南方,,,,
B145,改装航空軽巡「Gotland andra」、出撃！,改装航空轻巡“Gotland andra”，出击！,改装航空轻巡Gotland andra出击,改装航空轻巡哥特兰出击,,,
B146,「Gotland」戦隊、進撃せよ！,“Gotland”舰队，进击！,Gotland舰队进击,哥特兰舰队进击,,,
B147,南西諸島海域合同哨戒,南西诸岛海域联合警戒,,,,,
B148,合同艦隊旗艦、改装「Fletcher」、抜錨！,联合舰队旗舰、改装“Fletcher”，出发！,联合舰队旗舰改装Fletcher出发,联合舰队旗舰改装弗莱彻出发,,,
B149,改装護衛駆逐艦「Fletcher Mk.II」作戦開始！,改装护卫驱逐舰“Fletcher Mk.II”作战开始！,改装护卫驱逐舰Fletcher Mk.II作战开始,改装护卫驱逐舰弗莱彻作战开始,,,
B150,合同艦隊機動部隊、出撃せよ！,联合舰队机动部队，出击！,联合舰队机动部队出击,,,,
B151,合同艦隊作戦任務[拡張作戦],联合舰队作战任务【扩张作战】,联合舰队作战任务扩张作战,,,,
B152,【航空母艦特別任務】航空戦隊、精鋭無比！,【航空母舰特别任务】航空战队，精锐无比！,航空母舰特别任务航空战队精锐无比,,,,
B153,改加賀型航空母艦「加賀改二」、抜錨！,改加贺型航空母舰“加贺改二”，出发！,改加贺型航空母舰加贺改二出发,,,,
B154,最精鋭'第一航空戦隊'、出撃！鎧袖一触！,最精锐“第一航空战队”出击！铠袖一触！,最精锐第一航空战队出击铠袖一触,,,,
B155,重巡「羽黒」、出撃！ペナン沖海戦,重巡“羽黑”，出击！槟榔屿海域海战,重巡羽黑出击槟榔屿海域海战,,,,
B156,静かな海を護る「鯨」、動き出す！,守护宁静海洋的“鲸”，出动！,守护宁静海洋的鲸出动,,,,
B157,主力オブ主力、縦横無尽ッ！,主力中的主力，纵横无尽！,主力中的主力纵横无尽,,,,
B158,精鋭「二七駆」、回避運動は気をつけて！,精锐“二七驱”，注意回避运动！,精锐二七驱注意回避运动,,,,
B159,【艦隊司令部強化】艦隊旗艦、出撃せよ！,【舰队司令部强化】舰队旗舰，出击！,舰队司令部强化舰队旗舰出击,,,,
B160,奇跡の駆逐艦「雪風」、再び出撃す！,奇迹的驱逐舰，再次出击！,奇迹的驱逐舰再次出击,,,,
B161,最精強！「呉の雪風」「佐世保の時雨」,,最精强！“吴之雪风”“佐世保之时雨”,最精强吴之雪风佐世保之时雨,,,
Bw9,南方海域珊瑚諸島沖の制空権を握れ！,掌握南方海域珊瑚诸岛的制空权！,掌握南方海域珊瑚诸岛的制空权,,,,
Bw10,海上輸送路の安全確保に努めよ！,努力确保海上输送的安全！,努力确保海上输送的安全,,,,
Bm2,「潜水艦隊」出撃せよ！,“潜水舰队”出击！,潜水舰队出击,,,,
Bm5,海上護衛強化月間,海上护卫强化月,海上护卫强化月,,,,
Bm8,兵站線確保！海上警備を強化実施せよ！,确保后勤线！强化实施海上警备！,确保后勤线强化实施海上警备,,,,
Bq1,沖ノ島海域迎撃戦！,冲之岛海域迎击战！,冲之岛海域迎击战,,,,
Bq2,戦果拡張任務！「Z作戦」前段作戦,战果扩张任务！“Z作战”前段作战,战果扩张任务Z作战前段作战,Z炮,Z作战,Z炮前段,Z作战前段
Bq3,強行輸送艦隊、抜錨！,强行运输舰队，拔锚！,强行运输舰队拔锚,,,,
Bq4,前線の航空偵察を実施せよ！,实施前线航空侦察！,实施前线航空侦察,,,,
Bq5,北方海域警備を実施せよ！,实施北方海域警备吧！,实施北方海域警备吧,,,,
Bq6,精鋭「三一駆」、鉄底海域に突入せよ！,精锐“三一驱”，突入铁底海域！,精锐三一驱突入铁底海域,三一驱,精锐三一驱,,
Bq7,新編成「三川艦隊」、鉄底海峡に突入せよ！,新编成“三川舰队”，突入铁底海峡！,新编成三川舰队突入铁底海峡,新三川,新三川铁底,,
Bq8,泊地周辺海域の安全確保を徹底せよ！,彻底确保泊地周边海域的安全！,彻底确保泊地周边海域的安全,,,,
Bq9,空母戦力の投入による兵站線戦闘哨戒,投入空母战力进行补给线的战斗警戒,投入空母战力进行补给线的战斗警戒,,,,
Bq10,戦果拡張任務！「Z作戦」後段作戦,战果扩张任务！“Z作战”后段作战,战果扩张任务Z作战后段作战,Z炮后段,Z作战后段,,
Bq11,南西諸島方面「海上警備行動」発令！,南西诸岛方面“海上警备行动”发令！,南西诸岛方面海上警备行动发令,,,,
Bq12,発令！「西方海域作戦」,发令！“西方海域作战”,发令西方海域作战,,,,
Bq13,拡張「六水戦」、最前線へ！,扩张“六水战”，向最前线！,扩张六水战向最前线,扩张六水战,,,
By1,精鋭「十九駆」、躍り出る！,精锐“十九驱”，闪亮出击！,精锐十九驱闪亮出击,,,,
By2,「海防艦」、海を護る！,“海防舰”，防卫大海！,海防舰防卫大海,,,,
By3,工作艦「明石」護衛任務,工作舰“明石”护卫任务,工作舰明石护卫任务,,,,
By4,重巡戦隊、西へ！,重巡战队，向西！,重巡战队向西,,,,
By5,歴戦「第十方面艦隊」、全力出撃！,历战“第十方面舰队”，全力出击！,历战第十方面舰队全力出击,,,,
